Brand,Car,Battery,Range,Efficiency,kWh_per_100km,FastCharge_kmh,Top_speed_kmh,Accel_0_100_s,Price_EUR,Range_per_kWh_km,Price_per_kWh_EUR,Price_per_kmRange_EUR,Link
Tesla,Tesla Model Y Long Range Dual Motor,75.0,435,172,17.2,670.0,217,5.0,59017.0,5.8,786.8933333333333,135.6712643678161,https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor
Tesla,Tesla Model 3,57.5,420,137,13.7,700.0,201,6.1,46220.0,7.304347826086956,803.8260869565217,110.04761904761905,https://ev-database.org/car/1991/Tesla-Model-3
BYD,BYD ATTO 3,60.5,330,183,18.3,370.0,160,7.3,44625.0,5.454545454545454,737.603305785124,135.22727272727272,https://ev-database.org/car/1782/BYD-ATTO-3
MG,MG MG4 Electric 64 kWh,61.7,360,171,17.1,630.0,160,7.9,39990.0,5.834683954619124,648.1361426256077,111.08333333333333,https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh
Tesla,Tesla Model 3 Long Range Dual Motor,75.0,505,149,14.9,780.0,201,4.4,55220.0,6.733333333333333,736.2666666666667,109.34653465346534,https://ev-database.org/car/1992/Tesla-Model-3-Long-Range-Dual-Motor
Tesla,Tesla Model Y,57.5,350,164,16.4,580.0,217,6.9,47567.0,6.086956521739131,827.2521739130435,135.90571428571428,https://ev-database.org/car/1743/Tesla-Model-Y
BMW,BMW iX xDrive40,71.0,360,197,19.7,480.0,200,6.1,77300.0,5.070422535211268,1088.7323943661972,214.72222222222223,https://ev-database.org/car/1472/BMW-iX-xDrive40
Volvo,Volvo EX30 Single Motor ER,64.0,370,173,17.3,550.0,180,5.3,41790.0,5.78125,652.96875,112.94594594594595,https://ev-database.org/car/1910/Volvo-EX30-Single-Motor-ER
Citroen,Citroen e-C3,44.0,250,176,17.6,320.0,135,11.0,23300.0,5.681818181818182,529.5454545454545,93.2,https://ev-database.org/car/2039/Citroen-e-C3
BYD,BYD SEAL 82.5 kWh AWD Excellence,82.5,485,170,17.0,530.0,180,3.8,53668.0,5.878787878787879,650.5212121212121,110.65567010309279,https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence
BMW,BMW i4 eDrive40,80.7,515,157,15.7,800.0,190,5.7,59200.0,6.381660470879802,733.5811648079306,114.95145631067962,https://ev-database.org/car/1252/BMW-i4-eDrive40
Renault,Renault Megane E-Tech EV60 220hp,60.0,380,158,15.8,530.0,160,7.4,46600.0,6.333333333333333,776.6666666666666,122.63157894736842,https://ev-database.org/car/1521/Renault-Megane-E-Tech-EV60-220hp
BMW,BMW iX1 xDrive30,64.7,380,170,17.0,550.0,180,5.6,55000.0,5.873261205564142,850.0772797527047,144.73684210526315,https://ev-database.org/car/1701/BMW-iX1-xDrive30
Hyundai,Hyundai Kona Electric 64 kWh,64.0,390,164,16.4,370.0,167,7.9,42900.0,6.09375,670.3125,110.0,https://ev-database.org/car/1423/Hyundai-Kona-Electric-64-kWh
Tesla,Tesla Model Y Performance,75.0,415,181,18.1,640.0,250,3.7,63667.0,5.533333333333333,848.8933333333333,153.4144578313253,https://ev-database.org/car/1183/Tesla-Model-Y-Performance
Kia,Kia Niro EV,64.8,385,168,16.8,390.0,167,7.8,45690.0,5.941358024691358,705.0925925925926,118.67532467532467,https://ev-database.org/car/1666/Kia-Niro-EV
Rolls-Royce,Rolls-Royce Spectre,100.0,455,220,22.0,540.0,250,4.5,,4.55,,,https://ev-database.org/car/1765/Rolls-Royce-Spectre
Tesla,Tesla Model S Plaid,95.0,560,170,17.0,780.0,282,2.1,110970.0,5.894736842105263,1168.1052631578948,198.16071428571428,https://ev-database.org/car/1405/Tesla-Model-S-Plaid
BMW,BMW iX3,74.0,385,192,19.2,520.0,180,6.8,67300.0,5.202702702702703,909.4594594594595,174.80519480519482,https://ev-database.org/car/1535/BMW-iX3
Hongqi,Hongqi E-HS9 99 kWh,90.0,370,243,24.3,430.0,200,4.9,,4.111111111111111,,,https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh
Fiat,Fiat 500e Hatchback 42 kWh,37.3,235,159,15.9,390.0,150,9.0,34990.0,6.3002680965147455,938.0697050938338,148.89361702127658,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh
BYD,BYD HAN,85.4,475,180,18.0,450.0,180,3.9,70805.0,5.562060889929742,829.0983606557377,149.06315789473683,https://ev-database.org/car/1784/BYD-HAN
Tesla,Tesla Model S Dual Motor,95.0,575,165,16.5,800.0,250,3.2,95970.0,6.052631578947368,1010.2105263157895,166.90434782608696,https://ev-database.org/car/1404/Tesla-Model-S-Dual-Motor
BYD,BYD DOLPHIN 60.4 kWh,60.5,340,178,17.8,340.0,160,7.0,35990.0,5.619834710743802,594.8760330578513,105.8529411764706,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh
CUPRA,CUPRA Born 150 kW - 58 kWh,58.0,350,166,16.6,470.0,160,7.3,39370.0,6.0344827586206895,678.7931034482758,112.48571428571428,https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh
Dacia,Dacia Spring Electric 45,25.0,165,152,15.2,180.0,125,19.1,22550.0,6.6,902.0,136.66666666666666,https://ev-database.org/car/1705/Dacia-Spring-Electric-45
BMW,BMW i5 eDrive40 Sedan,81.2,475,171,17.1,710.0,193,6.0,70200.0,5.84975369458128,864.5320197044334,147.78947368421052,https://ev-database.org/car/1906/BMW-i5-eDrive40-Sedan
BMW,BMW i4 M50,80.7,450,179,17.9,700.0,225,3.9,70800.0,5.5762081784386615,877.3234200743494,157.33333333333334,https://ev-database.org/car/1519/BMW-i4-M50
Opel,Opel Astra Electric,50.8,305,167,16.7,490.0,170,9.2,41990.0,6.003937007874016,826.5748031496064,137.672131147541,https://ev-database.org/car/1792/Opel-Astra-Electric
MG,MG ZS EV Long Range,68.3,370,185,18.5,420.0,175,8.4,37990.0,5.417276720351391,556.2225475841874,102.67567567567568,https://ev-database.org/car/1541/MG-ZS-EV-Long-Range
Audi,Audi Q4 e-tron 40,76.6,405,189,18.9,630.0,160,8.5,,5.287206266318538,,,https://ev-database.org/car/1490/Audi-Q4-e-tron-40
BMW,BMW i7 xDrive60,101.7,510,199,19.9,760.0,240,4.7,139900.0,5.014749262536873,1375.614552605703,274.3137254901961,https://ev-database.org/car/1676/BMW-i7-xDrive60
Toyota,Toyota bZ4X FWD,64.0,340,188,18.8,510.0,160,7.5,47490.0,5.3125,742.03125,139.6764705882353,https://ev-database.org/car/1564/Toyota-bZ4X-FWD
Volvo,Volvo EX30 Single Motor,49.0,280,175,17.5,430.0,180,5.7,36590.0,5.714285714285714,746.734693877551,130.67857142857142,https://ev-database.org/car/1909/Volvo-EX30-Single-Motor
Smart,Smart #1,62.0,335,185,18.5,520.0,180,6.7,42490.0,5.403225806451613,685.3225806451613,126.83582089552239,https://ev-database.org/car/1667/Smart-1
Kia,Kia EV6 Long Range 2WD,74.0,410,180,18.0,1070.0,185,7.3,51990.0,5.54054054054054,702.5675675675676,126.8048780487805,https://ev-database.org/car/1481/Kia-EV6-Long-Range-2WD
